,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
655,CHEMBL407893,CNC(=O)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,1.26,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973210>,0.2836540264997704
656,CHEMBL261108,O=C(NCc1ccccc1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,0.045,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973260>,0.9559974818331
657,CHEMBL261419,O=P(O)(O)C(F)(F)c1cc2nc(/C=C/c3ccccc3)ccc2cc1Br,0.16,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9732B0>,0.8521437889662113
658,CHEMBL261418,O=C(Nc1ccccc1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,0.06,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973300>,0.9417645335842487
659,CHEMBL203296,CC(C)C1=C(Sc2ccc(Br)cc2)c2ccccc2C(=O)C1=O,7.57,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973350>,0.0005156924486124138
660,CHEMBL575043,O=C1NC(=O)/C(=C/c2cc(F)ccc2OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)S1,8.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9733A0>,0.00033546262790251185
661,CHEMBL509059,COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,0.00149,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9733F0>,0.9985111094988804
662,CHEMBL210837,O=C1CC(c2ccc(CC(NS(=O)(=O)c3ccccc3F)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973440>,0.8869204367171575
663,CHEMBL377141,O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3cccc(C(F)(F)F)c3)c3nc4cc(Cl)ccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],0.01,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973490>,0.9900498337491681
664,CHEMBL377476,Cc1ccccc1S(=O)(=O)NC(Cc1ccc(C2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,0.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9734E0>,0.7408182206817179
665,CHEMBL377735,COc1cccc(S(=O)(=O)NC(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)c2nc3ccccc3[nH]2)c1,0.048,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973530>,0.9531337870775047
666,CHEMBL1822607,CO[C@H]1O[C@H](COCc2cn(CCCCCOc3ccc(O)c(C(=O)O)c3)nn2)[C@@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,6.7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973580>,0.001230911902673481
667,CHEMBL2436037,O=C(CCc1c[nH]c2ccccc12)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)c1nc(C(=O)Nc2cc(F)ccc2C(=O)O)c(-c2ccccc2)s1,0.54,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9735D0>,0.5827482523739896
668,CHEMBL2436026,O=C(Nc1ccccc1C(=O)O)c1csc([C@H](Cc2ccc(OCc3ccccc3)cc2)NC(=O)C2CCCCC2)n1,8.12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973620>,0.00029752866044158134
