,mol_name,mol_smiles,mol_act,mol_fp
65,CHEMBL198940,CN(C)S(=O)(=O)c1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,0.027999999999999997,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96883A0>
66,CHEMBL24331,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2C2CCCC2)cc1O,0.027999999999999997,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96883F0>
67,CHEMBL25628,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)c1,0.027999999999999997,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688440>
68,CHEMBL198940,CN(C)S(=O)(=O)c1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,0.027999999999999997,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688490>
69,CHEMBL25368,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2)cc1O,0.027999999999999997,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96884E0>
70,CHEMBL25628,COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)c1,0.02818,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688530>
71,CHEMBL278092,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)cc1,0.028839999999999998,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688580>
72,CHEMBL278092,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)cc1,0.028999999999999998,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96885D0>
73,CHEMBL538903,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2[N+](=O)[O-])cc1O,0.028999999999999998,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688620>
74,CHEMBL285307,O=C(O)c1ccc(S(=O)(=O)Oc2c(Br)cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,0.03,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688670>
75,CHEMBL1162226,NS(=O)(=O)C(F)(F)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,0.03,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96886C0>
76,CHEMBL285307,O=C(O)c1ccc(S(=O)(=O)Oc2c(Br)cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,0.03,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688710>
77,CHEMBL1938819,NS(=O)(=O)C(F)(F)c1ccc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1F,0.031,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688760>
78,CHEMBL372592,CN(Cc1ccccc1)C(=O)CN(Cc1ccc(C(F)(F)P(=O)(O)O)c(Br)c1)S(=O)(=O)c1ccc(OCC(=O)O)cc1,0.031,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96887B0>
79,CHEMBL210836,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)[N-]1.[Na+],0.032,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688800>
80,CHEMBL24566,Cc1sc(Cc2ccccc2)c(-c2ccc(-c3ccc(OS(=O)(=O)c4ccc(C(=O)O)c(O)c4)cc3)cc2)c1C,0.032,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688850>
81,CHEMBL402032,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)c2ncc(CCCCOc3cccc(O)c3C(=O)O)[nH]2)ccc1C1CC(=O)NS1(=O)=O,0.032,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96888A0>
82,CHEMBL248291,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)NS1(=O)=O,0.032,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96888F0>
83,CHEMBL418703,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nnn[nH]2)n2nnc3ccccc32)cc1,0.032,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688940>
84,CHEMBL592245,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2)c2nc3ccccc3[nH]2)ccc1N1CC(=O)NS1(=O)=O,0.032,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688990>
85,CHEMBL24524,Cc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc(C)c1OS(=O)(=O)c1ccc(C(=O)O)c(O)c1,0.034,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96889E0>
86,CHEMBL1938830,NS(=O)(=O)C(F)(F)c1cc2cc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1F,0.035,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688A30>
87,CHEMBL211655,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,0.035,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688A80>
88,CHEMBL377989,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],0.035,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688AD0>
89,CHEMBL1938816,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)c(F)c2)cc1,0.035,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688B20>
90,CHEMBL211655,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,0.035,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9688B70>
