,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
103,CHEMBL1783774,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCCN(C(C)C)C(C)C)c1,5.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6760>,0.004086771438464067
104,CHEMBL1783783,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCCCN2CCCCC2)c1,4.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC67B0>,0.012277339903068436
105,CHEMBL1783784,CCOC(=O)COc1cc(OC)ccc1-c1cc(-c2ccccc2)no1,5.25,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6710>,0.005247518399181385
106,CHEMBL1783790,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCC(O)CN2CCCCC2)c1,6.8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6850>,0.0011137751478448032
107,CHEMBL1783788,CCN(CC)CC(O)COc1cc(OC)ccc1-c1cc(-c2ccccc2)no1,6.89,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC68A0>,0.0010179138409954387
108,CHEMBL445194,COc1cc(/C=C/c2cc(C(=O)O)c(O)c(-c3ccco3)c2)ccc1/C=C/c1cc(C(=O)O)c(O)c(-c2ccco2)c1,4.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6800>,0.01831563888873418
109,CHEMBL39626,Cc1oc2cc3sc4ccccc4c3c(-c3cc(I)c(O[C@H](Cc4ccccc4)C(=O)O)c(I)c3)c2c1C,0.07400000000000001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6990>,0.9286716938412872
110,CHEMBL8662,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc3ccccc3s2)n2nnc3ccccc32)cc1,0.018000000000000002,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6940>,0.9821610323583008
111,CHEMBL196268,CS(=O)(=O)Nc1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,0.18,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6A80>,0.835270211411272
112,CHEMBL197827,O=C(O)COc1ccc(C(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,2.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6B70>,0.10025884372280375
113,CHEMBL252710,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(C(F)(F)F)c3)C3=NC[C@@H](Cc4ccccc4)N3)cc2)S(=O)(=O)N1,0.15,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6BC0>,0.8607079764250578
114,CHEMBL1778911,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,2.7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6C10>,0.06720551273974976
115,CHEMBL1779053,C=C(C)C(C)c1cc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)ccc1OCC=C(C)C,7.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6B20>,0.0009118819655545162
116,CHEMBL1778903,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(OCc2ccccc2)cc1,2.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6AD0>,0.05502322005640723
117,CHEMBL340653,O=C1C(Cl)=C(NCCN2CCOCC2)C(=O)c2cnncc21,9.8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6A30>,5.5451599432176945e-05
118,CHEMBL597408,CC(C)OC(=O)c1c(-c2ccc(-c3ccccc3)cc2)csc1NC(=O)c1ccccc1C(=O)O,5.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6CB0>,0.004516580942612666
119,CHEMBL590103,Cc1ccccc1S(=O)(=O)N(Cc1ccc(C(=O)C(F)(F)P(=O)(O)O)cc1)Cc1ccc(C(=O)C(F)(F)P(=O)(O)O)cc1,0.6,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6D50>,0.5488116360940265
120,CHEMBL3350948,O=C(O)[C@H](CCN1C(=O)c2ccccc2C1=O)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1,0.34,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6DA0>,0.7117703227626097
121,CHEMBL276983,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)cc1,0.075,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6D00>,0.9277434863285529
122,CHEMBL1086229,Cc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O,0.07400000000000001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6C60>,0.9286716938412872
123,CHEMBL187610,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.057999999999999996,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6E40>,0.9436499474367985
124,CHEMBL267143,CCCC/C(=C\Cn1oc(=O)n(CC(=O)O)c1=O)c1cccc(Oc2cc(Cl)cc(Cl)c2)c1,1.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6EE0>,0.2725317930340126
